epoch,training_loss,validation_macro_f1
1,0.4574328848407635,0.8806508423201869
2,0.24531563766018585,0.9032765193007054
3,0.2096742981061638,0.9072977612724661
4,0.18341036747917036,0.9007545802548875
5,0.17369111624716435,0.8954878336876919
6,0.17630443766812703,0.916466579089986
7,0.17069887872329004,0.8915222443094325
8,0.1694748306194764,0.9218086868718741
9,0.16499275265464805,0.913876352801998
10,0.16471947846407348,0.9099621689785624
11,0.16217433354238625,0.9203892083149049
12,0.162494963916114,0.9151062575447068
13,0.1605687115333128,0.9072977612724661
14,0.15725963231796328,0.9190252690466032
15,0.15931361689002052,0.9125
16,0.15433699798527567,0.9138570279096918
17,0.15043058558667954,0.9203399950827158
18,0.14806630364523263,0.9164443040972606
